username,entries,share_pct
the.dapper.duo,19,7.12
psychxdeliclove,16,5.99
veronipie_,14,5.24
inmyscrappyplace,11,4.12
luacreates,11,4.12
cozified.life,10,3.75
justafoodlover_v,9,3.37
parchment.problems,9,3.37
janprudden,7,2.62
mommyruru,7,2.62
__tales_i_tell__,6,2.25
annahd_,6,2.25
postingwithtammy,6,2.25
888aww,5,1.87
agueroluli,5,1.87
ara_al3xis,5,1.87
little.zerox,5,1.87
pawtternprints,5,1.87
robynsomerville,5,1.87
billwink39,4,1.50
jessicabttran,4,1.50
mel_indaaa,4,1.50
nesi_lec,4,1.50
oleksandra_petrenko_1313,4,1.50
sojourn.al.junkrat,4,1.50
___.dikshitha.___,3,1.12
_eriii._.10_,3,1.12
avan__tester,3,1.12
chrono11,3,1.12
lexi._reads,3,1.12
m1ffyluv3rr,3,1.12
nanuschka.mb,3,1.12
cwzso,2,0.75
fandisha,2,0.75
jasminpetri38,2,0.75
kindacutemailclub,2,0.75
maddy.stationery,2,0.75
nakadilat,2,0.75
penpals.rus,2,0.75
postcrossing_from_russia,2,0.75
smashmelia,2,0.75
tulip.chain,2,0.75
ahintofglo,1,0.37
albino_trex,1,0.37
asiancara,1,0.37
cacarlito_prv,1,0.37
carla_srn07,1,0.37
chobikenobi,1,0.37
cperron66,1,0.37
craftygirly2025,1,0.37
emilyksprague,1,0.37
everyartstudio,1,0.37
fidgetislandco,1,0.37
forsomeone.somew,1,0.37
giraffe.88210871,1,0.37
heidijones.526,1,0.37
itsnotjustbookyoufool,1,0.37
ivyilyll,1,0.37
izzy.bakes.adl,1,0.37
jeaneeart,1,0.37
jesscrafting,1,0.37
jzkr,1,0.37
kerenzabennett,1,0.37
lemonadecat01,1,0.37
maika.artte,1,0.37
ms_skuld,1,0.37
myremedystudio,1,0.37
naddaamalia_,1,0.37
ness_who_,1,0.37
penpal_ligaya,1,0.37
phinayi,1,0.37
racheldesiree,1,0.37
rhmanton94,1,0.37
sarahsartjourney_,1,0.37
shanna.cards,1,0.37
soapmachi,1,0.37
storm.wolf.journals,1,0.37
taileyh,1,0.37
tokkidum,1,0.37
uniquinn_alleyne,1,0.37
vero_disco,1,0.37
yenne.studios,1,0.37
zuzubeanart,1,0.37
